b0507uk7lg4	棋士柯洁 表示跟AlphaGo下棋实在是太痛苦
id_XMTkxMDgzMDM0NA==	60场全胜 Master终于现真身：“我就是AlphaGo” 170105
v_19rr7ev2t4	「科技V报」柯洁大战AlphaGo结果出炉！
av15986543	AlphaGo Zero 为什么更厉害?
id_XMTc0NjEzMDM4MA==	AlphaGo连胜世界冠军，AI真的能够取代人类了吗？-科普视频科普动画制作-中科幻刺-幻彩宝宝
z0518yyhlqc	人机大战第三局柯洁投子认输 AlphaGo三连胜
v_19rrktlt8s	蒙圈!李世石逼AlphaGo出昏招 扳回一城暂1-3
h0198rohvnv	用 Gephi 复盘 AlphaGo 与李世乭围棋人机对战（第三局）
av4213991	京东挑战kindle，AlphaGo转战星际争霸，无人机与方程式赛车谁更快？「资讯100秒」
v_19rr7ei12w	柯洁对弈AlphaGo今天落子
id_XMTQ5ODY4MTk4MA==	AlphaGo三比零胜李世石 晨光新视界 160313
v_19rrktopmw	人机围棋大战：李世石三连败后首胜AlphaGo
id_XMjc4MDc4NDQwOA==	向阿法狗AlphaGo说不！90秒读懂20岁柯洁
id_XMjc4NTEyMjY0OA==	两局全输，柯洁对战AlphaGo，人类棋手最后一道壁垒
j07189fzkgn	《开讲啦》聂卫平认为AlphaGO成长速度远超人类
v_19rrbazo8g	柯洁 5月下旬对决ALphaGo
v_19rr6z2v84	AlphaGo大战柯洁——原来是这么回事！
v_19rrbc9x9w	19岁中国棋手柯洁将于ALphaGo乌镇对决
id_XMTU5NTg3MTc4MA==	2016李世石与Alpha GO人机对战第二盘_古力复盘
v_19rr7f9zbo	人机大战柯杰对决alphago无胜算
id_XMjg4ODg3NTkwNA==	《疯狂粤语》中国国粹麻将博大精深，AlphaGo只有被虐的份
id_XMjc4MTQ4ODUyNA==	柯洁对弈AlphaGo：柯国凡——不要纠结胜负  柯洁要快乐下棋 新闻深一度 170523
v_19rr7cj5ms	人机大战配对赛连笑AlphaGo逆转战胜古力组合
id_XMzAzNzIzMjYwMA==	为何机器的意识不如三岁小孩, 人类下围棋却无法战胜AlphaGo?
